5.000,151.10
5.005,151.10
5.010,150.29
5.015,150.29
5.020,150.29
5.025,151.51
5.030,151.51
5.035,151.10
5.040,150.70
5.045,151.10
5.050,150.29
5.055,149.89
5.060,149.89
5.065,149.89
5.070,149.48
5.075,150.29
5.080,151.10
5.085,151.10
5.090,150.70
5.095,151.10
5.100,151.10
5.105,150.70
5.110,150.70
5.115,150.29
5.120,150.70
5.125,151.10
5.130,151.10
5.135,150.70
5.140,151.10
5.145,151.10
5.150,150.70
5.155,150.70
5.160,150.29
5.165,149.89
5.170,149.48
5.175,151.10
5.180,151.10
5.185,151.10
5.190,151.10
5.195,151.10
5.200,150.70
5.205,150.70
5.210,150.70
5.215,149.89
5.220,149.48
5.225,149.89
5.230,150.70
5.235,150.70
5.240,151.10
5.245,150.70
5.250,150.70
5.255,150.70
5.260,150.29
5.265,150.29
5.270,149.89
5.275,150.29
5.280,151.10
5.285,151.10
5.290,150.29
5.295,150.70
5.300,150.70
5.305,151.10
5.310,151.10
5.315,150.29
5.320,149.89
5.325,149.89
5.330,150.70
5.335,151.10
5.340,150.70
5.345,150.29
5.350,150.70
5.355,150.70
5.360,149.89
5.365,150.70
5.370,149.48
5.375,149.89
5.380,151.10
5.385,151.10
5.390,149.89
5.395,149.08
5.400,147.48
5.405,145.50
5.410,143.54
5.415,140.82
5.420,138.15
5.425,135.13
5.430,132.91
5.435,130.34
5.440,128.52
5.445,125.30
5.450,122.48
5.455,119.00
5.460,115.24
5.465,111.88
5.470,109.56
5.475,106.94
5.480,104.66
5.485,102.41
5.490,99.87
5.495,98.29
5.500,96.09
5.505,93.92
5.510,91.45
5.515,89.93
5.520,88.40
5.525,86.89
5.530,85.98
5.535,85.08
5.540,84.48
5.545,83.58
5.550,82.69
5.555,82.39
5.560,81.50
5.565,80.90
5.570,80.31
5.575,80.02
5.580,80.02
5.585,80.31
5.590,80.31
5.595,80.31
5.600,80.02
5.605,80.31
5.610,79.72
5.615,79.72
5.620,79.72
5.625,79.72
5.630,79.72
5.635,80.02
5.640,80.31
5.645,80.02
5.650,80.31
5.655,80.31
5.660,80.02
5.665,80.31
5.670,80.31
5.675,80.31
5.680,80.61
5.685,80.31
5.690,80.61
5.695,80.31
5.700,80.90
5.705,80.90
5.710,80.61
5.715,80.31
5.720,80.31
5.725,80.31
5.730,80.31
5.735,80.31
5.740,80.61
5.745,80.90
5.750,80.61
5.755,80.61
5.760,80.61
5.765,80.61
5.770,80.02
5.775,80.31
5.780,80.61
5.785,80.90
5.790,81.20
5.795,81.20
5.800,81.20
5.805,80.90
5.810,80.61
5.815,80.90
5.820,80.61
5.825,80.31
5.830,80.31
5.835,80.31
5.840,80.61
5.845,80.90
5.850,80.90
5.855,81.20
5.860,80.90
5.865,80.61
5.870,80.61
5.875,80.31
5.880,80.31
5.885,80.61
5.890,80.61
5.895,80.61
5.900,81.20
5.905,81.20
5.910,80.90
5.915,80.61
5.920,80.61
5.925,80.31
5.930,80.31
5.935,80.31
5.940,80.61
5.945,80.61
5.950,80.90
5.955,81.20
5.960,80.90
5.965,80.61
5.970,80.90
5.975,80.90
5.980,80.61
5.985,80.61
5.990,80.61
5.995,80.61
6.000,80.61
6.005,80.90
6.010,80.90
6.015,80.90
6.020,80.61
6.025,80.61
6.030,80.31
6.035,80.31
6.040,80.61
6.045,80.61
6.050,80.90
6.055,80.90
6.060,80.90
6.065,80.90
6.070,80.90
6.075,80.61
6.080,80.61
6.085,80.61
6.090,80.61
6.095,80.90
6.100,80.90
6.105,80.90
6.110,80.61
6.115,80.61
6.120,80.31
6.125,80.31
6.130,80.31
6.135,80.61
6.140,80.31
6.145,80.61
6.150,80.90
6.155,80.90
6.160,81.20
6.165,80.90
6.170,80.31
6.175,80.61
6.180,80.61
6.185,80.61
6.190,80.61
6.195,80.61
6.200,80.90
6.205,81.20
6.210,81.20
6.215,81.20
6.220,80.90
6.225,80.31
6.230,80.31
6.235,80.61
6.240,80.31
6.245,80.61
6.250,80.61
6.255,80.61
6.260,81.20
6.265,80.90
6.270,80.90
6.275,80.61
6.280,80.31
6.285,80.61
6.290,80.61
6.295,80.61
6.300,80.90
6.305,80.90
